case_id,case_role,feature,feature_group,path_importance,rank,explained_label
I,target_prediction,fd_f95_hz_0_6k,spectrum,0.05939306748884229,8,OR
I,target_prediction,td_zero_cross_rate,time_shape,0.03528097516170577,9,OR
I,target_prediction,fd_dominant_hz_0_6k,spectrum,0.03225848082653247,10,OR
I,target_prediction,env_energy_ratio_50_150,envelope,0.03010565707930133,11,OR
I,target_prediction,env_dominant_hz_0_500,envelope,0.024996467501505325,12,OR
I,target_prediction,td_shape_factor,time_shape,0.02484845871401998,13,OR
I,target_prediction,td_kurtosis,impact,0.024695977267170384,14,OR
I,target_prediction,fd_energy_ratio_0_500,spectrum,0.020293108352322477,15,OR
I,target_prediction,fd_centroid_hz_0_6k,spectrum,0.019844184107592814,16,OR
I,target_prediction,env_energy_ratio_150_300,envelope,0.017189486121302607,17,OR
I,target_prediction,env_kurtosis,envelope,0.014424391714386085,18,OR
I,target_prediction,fd_energy_ratio_500_1500,spectrum,0.012851583439616641,19,OR
I,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.009272492889795739,20,OR
I,target_prediction,env_energy_ratio_0_50,envelope,0.007500467342245443,21,OR
I,target_prediction,td_impulse_factor,impact,0.004142791896634247,22,OR
I,target_prediction,env_energy_ratio_300_500,envelope,0.002636744688977052,23,OR
I,target_prediction,env_centroid_hz_0_500,envelope,0.0024582109190949566,24,OR
I,target_prediction,fd_entropy_0_6k,spectrum,0.00143193286532656,25,OR
I,target_prediction,td_skewness,time_shape,0.0012761309593016068,26,OR
I,target_prediction,td_clearance_factor,impact,0.000951075580407886,27,OR
I,target_prediction,td_crest_factor,impact,0.0004045056848414567,28,OR
J,target_prediction,env_rms,envelope,0.12717822897421813,1,OR
J,target_prediction,td_peak_abs,impact,0.10738768917322622,2,OR
J,target_prediction,td_ptp,impact,0.10182849866103481,3,OR
J,target_prediction,td_std,time_energy,0.09451402692217734,4,OR
J,target_prediction,env_entropy_0_500,envelope,0.08003424321824225,5,OR
J,target_prediction,td_rms,time_energy,0.07401010985403182,6,OR
J,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.06908329045803484,7,OR
J,target_prediction,fd_f95_hz_0_6k,spectrum,0.05983392764947569,8,OR
J,target_prediction,td_zero_cross_rate,time_shape,0.03492159602438574,9,OR
J,target_prediction,fd_dominant_hz_0_6k,spectrum,0.032838863244420376,10,OR
J,target_prediction,env_energy_ratio_50_150,envelope,0.02951623248060563,11,OR
J,target_prediction,env_dominant_hz_0_500,envelope,0.025735674270143605,12,OR
J,target_prediction,td_shape_factor,time_shape,0.024824574013785596,13,OR
J,target_prediction,td_kurtosis,impact,0.02449870336740749,14,OR
J,target_prediction,fd_centroid_hz_0_6k,spectrum,0.0200108373780314,15,OR
J,target_prediction,fd_energy_ratio_0_500,spectrum,0.0199822881671065,16,OR
J,target_prediction,env_energy_ratio_150_300,envelope,0.018660494145325102,17,OR
J,target_prediction,env_kurtosis,envelope,0.014409917781675273,18,OR
J,target_prediction,fd_energy_ratio_500_1500,spectrum,0.012692356211852175,19,OR
J,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.008929962640461569,20,OR
J,target_prediction,env_energy_ratio_0_50,envelope,0.006777829933158795,21,OR
J,target_prediction,td_impulse_factor,impact,0.004134966767316675,22,OR
J,target_prediction,env_energy_ratio_300_500,envelope,0.0025573354936810817,23,OR
J,target_prediction,env_centroid_hz_0_500,envelope,0.0024519959253359257,24,OR
J,target_prediction,fd_entropy_0_6k,spectrum,0.0010831825607985812,25,OR
J,target_prediction,td_clearance_factor,impact,0.0009523428968172312,26,OR
J,target_prediction,td_skewness,time_shape,0.0007912726951617057,27,OR
J,target_prediction,td_crest_factor,impact,0.0003595590920884884,28,OR
K,target_prediction,env_rms,envelope,0.12742777508067318,1,OR
K,target_prediction,td_peak_abs,impact,0.10838297973115724,2,OR
K,target_prediction,td_ptp,impact,0.10435475043661077,3,OR
K,target_prediction,td_std,time_energy,0.09355872389862689,4,OR
K,target_prediction,env_entropy_0_500,envelope,0.0821771154702159,5,OR
K,target_prediction,td_rms,time_energy,0.07334040233418007,6,OR
K,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.06895961921937593,7,OR
K,target_prediction,fd_f95_hz_0_6k,spectrum,0.05605190341998157,8,OR
K,target_prediction,fd_dominant_hz_0_6k,spectrum,0.034055639512302324,9,OR
K,target_prediction,td_zero_cross_rate,time_shape,0.0337494801146565,10,OR
K,target_prediction,env_energy_ratio_50_150,envelope,0.027018103343043484,11,OR
K,target_prediction,td_shape_factor,time_shape,0.0255327096432312,12,OR
K,target_prediction,env_dominant_hz_0_500,envelope,0.02522928652399133,13,OR
K,target_prediction,td_kurtosis,impact,0.023538192379447456,14,OR
K,target_prediction,env_energy_ratio_150_300,envelope,0.020499906380758718,15,OR
K,target_prediction,fd_energy_ratio_0_500,spectrum,0.0193248001069582,16,OR
K,target_prediction,fd_centroid_hz_0_6k,spectrum,0.019210703105327746,17,OR
K,target_prediction,fd_energy_ratio_500_1500,spectrum,0.013403526360745158,18,OR
K,target_prediction,env_kurtosis,envelope,0.013318733940412466,19,OR
K,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.008046243729308768,20,OR
K,target_prediction,env_energy_ratio_0_50,envelope,0.007036661379730242,21,OR
K,target_prediction,td_impulse_factor,impact,0.004721927682605693,22,OR
K,target_prediction,env_centroid_hz_0_500,envelope,0.0032530939892509952,23,OR
K,target_prediction,fd_entropy_0_6k,spectrum,0.0029872018695078053,24,OR
K,target_prediction,td_clearance_factor,impact,0.002161586316252294,25,OR
K,target_prediction,env_energy_ratio_300_500,envelope,0.0019789634590164557,26,OR
K,target_prediction,td_crest_factor,impact,0.00046108179703746057,27,OR
K,target_prediction,td_skewness,time_shape,0.00021888877559415968,28,OR
L,target_prediction,env_rms,envelope,0.12571659526558288,1,OR
L,target_prediction,td_peak_abs,impact,0.10256140639371861,2,OR
L,target_prediction,td_ptp,impact,0.10011318914767517,3,OR
L,target_prediction,td_std,time_energy,0.09983237407341251,4,OR
L,target_prediction,env_entropy_0_500,envelope,0.08430257419676274,5,OR
L,target_prediction,td_rms,time_energy,0.0768583471607791,6,OR
L,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.07203127641918025,7,OR
L,target_prediction,fd_f95_hz_0_6k,spectrum,0.06050138819176912,8,OR
L,target_prediction,td_zero_cross_rate,time_shape,0.036116650140534015,9,OR
L,target_prediction,env_energy_ratio_50_150,envelope,0.03142004410641204,10,OR
L,target_prediction,td_kurtosis,impact,0.02597848120127172,11,OR
L,target_prediction,td_shape_factor,time_shape,0.024816758342790898,12,OR
L,target_prediction,fd_dominant_hz_0_6k,spectrum,0.023801606590516788,13,OR
L,target_prediction,env_dominant_hz_0_500,envelope,0.02178379037276639,14,OR
L,target_prediction,fd_energy_ratio_0_500,spectrum,0.02132871628362424,15,OR
L,target_prediction,fd_centroid_hz_0_6k,spectrum,0.018104143378440817,16,OR
L,target_prediction,env_energy_ratio_150_300,envelope,0.014444893610334802,17,OR
