case_id,window_id,window_start_s,domain,explained_label,feature,window_score,score_drop_when_occluded
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,peak_to_peak,1.0,0.04111111111111121
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,skewness,1.0,0.0
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,kurtosis,1.0,0.01666666666666672
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,crest_factor,1.0,0.026666666666666616
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,impulse_factor,1.0,0.06666666666666665
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,shape_factor,1.0,0.03833333333333333
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,clearance_factor,1.0,0.09266666666666667
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,zero_cross_rate,1.0,0.0
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,spectral_centroid_hz,1.0,0.0
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,spectral_rms_hz,1.0,0.0
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,spectral_entropy,1.0,0.0
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,spectral_flatness,1.0,0.023333333333333317
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,dominant_frequency_hz,1.0,0.0
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,rolloff95_hz,1.0,0.23333333333333328
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,band_ratio_0_500,1.0,0.08999999999999997
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,band_ratio_500_1500,1.0,0.0033333333333332993
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,band_ratio_1500_3000,1.0,0.010000000000000009
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,band_ratio_3000_5500,1.0,0.020000000000000018
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,envelope_rms,1.0,0.1233333333333333
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,envelope_kurtosis,1.0,0.07126262626262625
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,envelope_spectral_entropy,1.0,0.18999999999999995
